"carat","cut","color","clarity","depth","table","price","x","y","z","s.price"
1.05,"Fair","J","SI2",65.8,59,2789,6.41,6.27,4.18,52.8109837060436
1,"Fair","J","VS2",65.7,59,2811,6.14,6.07,4.01,53.0188645672463
0.99,"Fair","J","SI1",55,61,2812,6.72,6.67,3.68,53.0282943342514
0.9,"Fair","J","VS2",65,56,2815,6.08,6.04,3.94,53.0565735795292
0.91,"Fair","J","VS2",64.4,62,2854,6.06,6.03,3.89,53.4228415567723
0.91,"Fair","J","VS2",65.4,60,2854,6.04,6,3.94,53.4228415567723
1,"Fair","J","VS1",65.5,55,2875,6.3,6.25,4.11,53.619026473818
0.99,"Fair","J","SI1",58,67,2949,6.57,6.5,3.79,54.3046959295419
0.9,"Fair","J","VS1",65.4,60,2964,6.02,5.93,3.91,54.4426303552648
0.9,"Fair","J","VS1",64.6,58,2964,6.12,6.06,3.93,54.4426303552648
1.06,"Fair","J","SI2",61,66,2992,6.54,6.35,3.93,54.6991773247094
1.01,"Fair","J","VVS2",66,56,2998,6.29,6.22,4.13,54.7539952880153
1.2,"Fair","J","I1",64.9,59,3011,6.61,6.54,4.27,54.8725796732758
1.02,"Fair","J","SI1",66.8,55,3027,6.25,6.18,4.15,55.0181788139157
1,"Fair","J","VS1",66.6,57,3080,6.07,6.03,4.03,55.4977477020464
1.02,"Fair","J","SI2",65,59,3119,6.34,6.24,4.08,55.8480080217728
1.03,"Fair","J","SI2",64.6,62,3149,6.3,6.21,4.06,56.1159513863928
0.95,"Fair","J","SI1",58,66,3154,6.5,6.46,3.76,56.1604843283959
1,"Fair","J","SI1",65.3,57,3175,6.33,6.12,4.08,56.3471383479232
1.01,"Fair","J","VS2",65.8,55,3190,6.29,6.24,4.12,56.4800849857718
1,"Fair","J","SI2",56.3,64,3199,6.58,6.54,3.69,56.5597029695171
1.03,"Fair","J","SI2",56.2,62,3246,6.73,6.69,3.77,56.9736781329765
1.08,"Fair","J","SI2",64.9,60,3302,6.46,6.32,4.15,57.4630315942346
1.14,"Fair","J","SI2",64.4,55,3403,6.56,6.54,4.22,58.335238064141
1,"Fair","J","VS2",65.3,61,3422,6.33,6.13,4.03,58.4978632088387
1,"Fair","J","SI1",64.9,58,3427,6.29,6.23,4.06,58.5405842130056
1.09,"Fair","J","VS2",64.6,58,3443,6.48,6.41,4.16,58.6770824087224
1,"Fair","J","SI1",64.7,52,3780,6.35,6.3,4.09,61.4817045957576
1.01,"Fair","J","VS2",59.6,62,3886,6.54,6.49,3.88,62.3377895020348
1.08,"Fair","J","VS2",65.1,54,3980,6.47,6.44,4.2,63.08724118235
1.21,"Fair","J","SI2",64.6,59,3984,6.74,6.64,4.32,63.118935352238
1.11,"Fair","J","SI2",64.8,55.1,4056,6.44,6.55,4.21,63.6867333123626
1.13,"Fair","J","SI1",64.9,55,4123,6.49,6.56,4.24,64.2105910267146
1.21,"Fair","J","SI1",65,59,4147,6.64,6.57,4.29,64.3972049082877
1.21,"Fair","J","SI1",65.3,60,4147,6.6,6.51,4.28,64.3972049082877
1.36,"Fair","J","SI2",67.8,55,4158,6.73,6.66,4.54,64.482555780614
1.5,"Fair","J","I1",68.8,57,4284,6.94,6.87,4.75,65.4522726878143
1.45,"Fair","J","SI2",58.6,68,4570,7.45,7.33,4.34,67.6017751246223
0.3,"Fair","J","VS2",64.8,58,416,4.24,4.16,2.72,20.3960780543711
1.2,"Fair","J","SI1",65.2,58,4838,6.67,6.58,4.32,69.5557330491168
1.83,"Fair","J","I1",70,58,5083,7.34,7.28,5.12,71.2951611261241
1.72,"Fair","J","I1",68.5,59,5240,7.31,7.24,4.98,72.3878442834154
1.5,"Fair","J","SI2",65.5,60,5268,7.07,7.03,4.62,72.5809892464962
2.14,"Fair","J","I1",69.4,57,5405,7.74,7.7,5.36,73.5187051028512
2.15,"Fair","J","I1",65.5,57,5430,8.01,7.95,5.23,73.6885337077622
1.3,"Fair","J","SI1",66,57.1,5488,6.73,6.82,4.45,74.0810367098085
1.35,"Fair","J","SI1",65.2,56,5524,6.9,7.02,4.54,74.3236167042482
2.22,"Fair","J","I1",66.7,56,5607,8.04,8.02,5.36,74.8799038460921
2.27,"Fair","J","I1",67.6,55,5733,8.05,8,5.43,75.7165767847438
1.51,"Fair","J","SI2",65.1,59,5801,7.13,7.09,4.63,76.1642960973185
1.5,"Fair","J","VS2",64.5,59,5846,7.2,7.07,4.6,76.4591394144611
1.81,"Fair","J","I1",68,57,5859,7.43,7.39,5.04,76.5441049330384
1.65,"Fair","J","SI1",61.6,66,5914,7.61,7.47,4.66,76.9025357189215
1.52,"Fair","J","SI2",65.8,57,5916,7.18,7.11,4.7,76.9155380921176
1.5,"Fair","J","SI1",64.9,58,6006,7.09,7.03,4.58,77.4983870799903
2.49,"Fair","J","I1",66.3,58,6289,8.26,8.18,5.45,79.3032155716274
1.53,"Fair","J","VS2",64.7,58,6659,7.24,7.22,4.68,81.6026960338934
2,"Fair","J","I1",66.5,56,6796,7.93,7.8,5.23,82.4378553820998
2.72,"Fair","J","I1",68.2,56,6870,8.46,8.43,5.76,82.8854631404084
1.51,"Fair","J","SI1",63.4,60,6976,7.31,7.18,4.59,83.5224520712844
1.51,"Fair","J","VS1",65.2,56,7139,7.16,7.11,4.65,84.4926032265547
1.52,"Fair","J","VS1",65.4,58,7186,7.22,7.17,4.7,84.770277810091
1.5,"Fair","J","VS1",60.1,61,7819,7.25,7.3,4.37,88.4251095560531
1.81,"Fair","J","SI1",56.2,62,8362,8.14,8.09,4.56,91.4439719172346
2.74,"Fair","J","I1",64.9,61,8807,8.76,8.66,5.65,93.8456179051531
2.02,"Fair","J","SI2",67.5,59,9095,7.76,7.65,5.2,95.367709419908
1.76,"Fair","J","VS1",56.9,66,9314,8.09,7.94,4.56,96.5090669315583
3.11,"Fair","J","I1",65.9,57,9823,9.15,9.02,5.98,99.1110488290786
2.02,"Fair","J","SI2",64.6,55,9853,7.93,7.84,5.09,99.2622788374315
2,"Fair","J","SI1",66.4,55,11189,7.82,7.67,5.15,105.778069560755
2.01,"Fair","J","SI1",64.4,61,11212,7.74,7.78,5,105.886731935592
2,"Fair","J","VS2",65.4,58,11966,7.96,7.75,5.14,109.389213362196
2.29,"Fair","J","SI1",56.8,66,12811,8.79,8.69,4.96,113.185688141213
2.02,"Fair","J","VS1",64.6,59,13399,7.95,7.9,5.12,115.754049605187
2.29,"Fair","J","VS2",57,66,13701,8.8,8.6,4.98,117.051270817535
2.01,"Fair","J","VS2",64.9,60,13744,7.82,7.78,5.06,117.234807118023
2.01,"Fair","J","VS1",66.6,54,14402,7.76,7.92,5.22,120.008333044002
2.5,"Fair","J","SI2",66.9,58,14652,8.36,8.22,5.55,121.045446010992
2.06,"Fair","J","VS1",64.6,58,14750,7.91,8.04,5.15,121.449578014911
2.52,"Fair","J","SI2",65.1,56,15776,8.51,8.43,5.51,125.602547744861
2.4,"Fair","J","SI2",65.4,56,15824,8.35,8.29,5.44,125.793481548131
5.01,"Fair","J","I1",65.5,59,18018,10.74,10.54,6.98,134.231143927183
4.5,"Fair","J","I1",65.8,58,18531,10.23,10.16,6.72,136.128615654461
0.5,"Fair","J","VS1",66.8,57,949,4.89,4.84,3.25,30.8058436014987
0.51,"Fair","J","VS2",65.3,55,996,4.97,4.96,3.24,31.559467676119
0.52,"Fair","J","VS2",65.3,56,1030,5.05,5,3.28,32.0936130717624
0.7,"Fair","J","I1",64.7,59,1066,5.59,5.5,3.59,32.649655434629
0.62,"Fair","J","SI1",65.4,59,1101,5.39,5.28,3.49,33.1813200460741
0.34,"Fair","J","SI1",64.5,57,497,4.38,4.36,2.82,22.293496809608
0.61,"Fair","J","VS2",58.2,56,1174,5.74,5.49,3.27,34.2636833980236
0.85,"Fair","J","I1",65.5,59,1334,5.95,5.82,3.86,36.5239647354993
0.71,"Fair","J","SI2",66.1,58,1362,5.53,5.43,3.62,36.9052841744919
0.71,"Fair","J","SI2",65.5,61,1409,5.54,5.49,3.61,37.5366487582469
0.71,"Fair","J","VS2",64.9,54,1435,5.63,5.53,3.62,37.8813938497516
0.7,"Fair","J","VS2",64.6,58,1672,5.58,5.56,3.6,40.8900966005217
0.7,"Fair","J","VVS1",67.6,54,1691,5.56,5.41,3.71,41.1217703899042
0.7,"Fair","J","SI1",63,57,1723,5.55,5.6,3.51,41.5090351610345
0.72,"Fair","J","SI2",66.1,55,1762,5.51,5.56,3.66,41.9761837236307
1,"Fair","J","I1",65,59,1784,6.27,6.17,4.05,42.2374241638857
0.99,"Fair","J","I1",73.6,60,1789,6.01,5.8,4.35,42.2965719651132
0.73,"Fair","J","VS1",64.6,60,1802,5.68,5.59,3.64,42.4499705535822
0.71,"Fair","J","VS2",64.4,56,1826,5.64,5.6,3.62,42.731721238443
0.75,"Fair","J","SI1",55,66,1827,6.2,6.04,3.37,42.743420546325
0.75,"Fair","J","VS1",61.9,67,1869,5.8,5.7,3.56,43.2319326424346
0.7,"Fair","J","VS2",67.4,58,1896,5.34,5.37,3.61,43.5430821141545
0.99,"Fair","J","I1",62.9,58,1901,6.33,6.1,3.91,43.6004587131833
0.75,"Fair","J","VS2",59.1,66,1944,5.99,5.82,3.49,44.0908153700972
0.77,"Fair","J","SI1",60.2,66,1956,5.97,5.81,3.55,44.226688774992
0.74,"Fair","J","VS1",58.8,68,1982,5.91,5.8,3.44,44.5196585791041
0.77,"Fair","J","VS1",61.2,66,2005,5.92,5.83,3.6,44.7772263544762
1,"Fair","J","SI2",69.9,61,2117,6.13,5.86,4.23,46.0108682813094
0.96,"Fair","J","I1",59.5,60,2304,6.28,6.23,3.72,48
0.95,"Fair","J","I1",64.9,56,2322,6.17,6.12,3.99,48.187135212627
0.91,"Fair","J","SI1",66.3,56,2390,5.92,5.99,3.95,48.8876262463213
0.9,"Fair","J","SI1",64.6,61,2438,5.92,5.87,3.81,49.376107582514
0.96,"Fair","J","SI1",67.3,56,2517,6.06,6.01,4.06,50.1697119784437
0.9,"Fair","J","SI2",66.6,54,2536,6.05,5.99,4.01,50.3587132480567
0.97,"Fair","J","SI2",60.8,67,2538,6.41,6.32,3.87,50.37856687124
1.01,"Fair","J","SI2",66.9,58,2683,6.13,6.07,4.08,51.7976833458795
